id,Occupation,Active Since
172,marketing,1997-09-29
173,other,1997-10-22
174,administrator,1998-02-02
175,scientist,1997-10-17
176,scientist,1998-01-29
177,programmer,1997-11-21
178,other,1997-12-22
179,entertainment,1998-04-09
180,administrator,1997-10-17
181,executive,1997-11-08
182,programmer,1997-10-09
183,ITBA,1998-04-01
184,librarian,1998-03-14
185,librarian,1997-12-30
186,executive,1997-11-08
187,educator,1997-11-13
188,student,1997-09-24
189,artist,1998-04-22
190,administrator,1998-03-27
191,administrator,1998-04-02
192,educator,1997-12-06
193,student,1998-03-05
194,administrator,1997-11-14
195,scientist,1997-09-21
196,writer,1997-12-04
197,technician,1998-04-01
198,student,1998-01-07
199,writer,1998-01-02
200,programmer,1997-10-05
201,writer,1998-01-06
202,educator,1997-11-17
203,student,1997-11-25
204,librarian,1998-04-12
205,lawyer,1998-02-24
206,student,1998-02-22
207,marketing,1997-09-29
208,engineer,1997-12-26
209,educator,1997-12-29
210,engineer,1998-02-17
211,salesman,1997-11-13
212,educator,1997-11-12
213,executive,1997-11-07
214,librarian,1998-04-02
215,programmer,1998-04-01
216,engineer,1997-11-22
217,other,1998-03-05
218,administrator,1997-10-22
219,programmer,1998-03-08
220,librarian,1997-12-04
221,student,1997-09-26
222,programmer,1997-10-22
223,student,1998-04-02
224,educator,1998-02-21
225,administrator,1997-11-14
226,student,1998-01-04
227,executive,1997-11-09
228,student,1998-03-08
229,librarian,1998-04-03
230,student,1997-11-25
231,librarian,1997-11-19
232,scientist,1997-11-20
233,engineer,1997-09-29
234,retired,1998-03-27
235,educator,1998-03-11
236,writer,1998-03-17
237,administrator,1997-11-12
238,administrator,1997-12-31
239,artist,1998-03-06
240,educator,1998-01-26
241,student,1998-02-12
242,educator,1997-11-17
243,educator,1997-11-20
244,technician,1997-11-27
245,student,1998-02-26
246,student,1998-01-16
247,engineer,1998-04-20
248,student,1998-01-11
249,student,1997-11-15
250,executive,1997-10-29
251,doctor,1998-01-31
252,engineer,1998-04-01
253,librarian,1998-04-03
254,educator,1998-02-03
255,entertainment,1997-12-27
256,none,1997-12-15
257,student,1997-11-08
258,student,1998-01-25
259,student,1997-09-20
260,artist,1998-03-23
261,administrator,1998-03-21
262,student,1997-11-17
263,programmer,1998-03-30
264,writer,1998-01-30
265,executive,1997-09-27
266,administrator,1998-04-11
267,engineer,1997-11-08
268,engineer,1997-09-26
269,librarian,1998-04-01
270,student,1997-10-15
271,engineer,1998-01-26
272,scientist,1997-11-13
273,other,1998-03-30
274,student,1997-11-07
275,engineer,1997-09-25
276,student,1997-09-20
277,administrator,1997-11-14
278,librarian,1998-03-30
279,programmer,1997-09-26
280,librarian,1998-04-04
281,student,1997-12-04
282,administrator,1997-11-19
283,programmer,1997-11-12
284,executive,1998-01-20
285,programmer,1998-03-22
286,student,1997-10-02
287,salesman,1997-09-27
288,marketing,1998-02-01
289,none,1997-10-14
290,engineer,1997-11-25
291,student,1997-09-21
292,programmer,1997-10-22
293,writer,1998-03-03
294,technician,1997-10-25
295,educator,1997-11-14
296,administrator,1998-01-07
297,educator,1997-09-22
298,ITBA,1998-01-06
299,doctor,1997-10-23
300,programmer,1997-09-30
301,student,1997-12-14
302,educator,1997-11-13
303,student,1997-11-14
304,student,1998-01-16
305,programmer,1998-02-01
306,other,1997-10-10
307,student,1997-09-30
308,retired,1998-02-17
309,scientist,1997-10-20
310,educator,1997-11-13
311,technician,1998-01-09
312,other,1998-04-04
313,marketing,1998-03-27
314,student,1997-10-26
315,educator,1997-11-17
316,other,1997-11-30
317,administrator,1998-04-01
318,retired,1998-01-10
319,programmer,1997-10-01
320,student,1998-01-14
321,educator,1997-11-13
322,student,1998-02-12
323,student,1997-11-05
324,student,1997-11-26
325,technician,1998-04-02
326,administrator,1997-11-18
327,student,1998-02-17
328,administrator,1998-01-17
329,educator,1998-04-04
330,educator,1997-10-11
331,entertainment,1997-10-18
332,student,1998-02-19
333,other,1998-03-28
334,librarian,1998-04-02
335,executive,1998-04-03
336,salesman,1997-10-25
337,scientist,1997-09-25
338,librarian,1997-11-13
339,lawyer,1998-03-27
340,engineer,1998-01-16
341,student,1998-03-24
342,other,1997-09-23
343,engineer,1997-10-09
344,librarian,1998-01-14
345,librarian,1998-01-15
346,other,1997-09-22
347,student,1997-12-09
348,student,1998-02-03
349,retired,1997-11-13
350,student,1997-12-17
351,educator,1997-11-14
352,programmer,1998-01-08
353,scientist,1998-04-01
354,librarian,1998-03-29
355,student,1997-11-14
356,homemaker,1998-04-01
357,executive,1997-11-08
358,ITBA,1998-03-30
359,student,1998-02-02
360,other,1997-11-24
361,student,1997-11-13
362,homemaker,1998-01-17
363,student,1998-04-02
364,engineer,1997-10-04
365,lawyer,1998-03-31
366,student,1998-03-02
367,student,1997-10-12
368,student,1998-03-13
369,student,1998-03-09
370,writer,1997-11-13
371,engineer,1997-10-22
372,student,1997-10-14
373,other,1997-10-17
374,executive,1997-11-24
375,entertainment,1998-02-04
376,other,1997-11-13
377,student,1998-03-30
378,student,1997-11-20
379,programmer,1997-11-26
380,engineer,1998-01-22
381,artist,1998-04-16
382,engineer,1997-10-04
383,administrator,1998-03-29
384,programmer,1998-03-30
385,writer,1997-11-13
386,salesman,1997-10-24
387,entertainment,1998-02-03
388,other,1998-02-02
389,writer,1997-11-19
390,writer,1997-11-16
391,student,1997-10-21
392,writer,1998-03-27
393,student,1998-02-17
394,administrator,1997-11-30
395,other,1998-01-02
396,engineer,1998-01-12
397,ITBA,1997-09-24
398,other,1997-09-30
399,other,1997-12-17
400,administrator,1998-01-24
401,healthcare,1998-03-27
402,engineer,1997-10-07
403,other,1997-11-17
404,programmer,1997-10-15
405,healthcare,1998-01-23
406,educator,1997-11-13
407,engineer,1997-09-23
408,student,1998-03-12
409,administrator,1997-12-02
410,artist,1998-02-28
411,educator,1998-03-27
412,educator,1997-11-16
413,educator,1997-11-19
414,programmer,1998-01-17
415,educator,1997-11-13
416,student,1997-10-12
417,other,1997-11-16
418,none,1998-03-30
419,lawyer,1997-11-13
420,educator,1998-03-31
421,programmer,1998-04-10
422,entertainment,1997-09-24
423,other,1998-04-01
424,marketing,1997-11-30
425,student,1997-11-05
426,educator,1997-11-13
427,doctor,1997-11-16
428,student,1998-01-27
429,student,1997-12-17
430,scientist,1997-10-19
431,marketing,1997-10-26
432,entertainment,1998-03-09
433,artist,1997-11-26
434,student,1998-02-06
435,engineer,1998-01-06
436,administrator,1998-02-18
437,other,1997-11-21
438,administrator,1997-11-18
439,administrator,1997-12-23
440,other,1998-04-02
441,technician,1998-03-27
442,student,1997-12-29
443,salesman,1997-12-30
444,lawyer,1998-03-18
445,writer,1998-03-27
446,educator,1997-11-17
447,administrator,1997-11-06
448,entertainment,1998-04-06
449,librarian,1997-11-19
450,educator,1997-12-15
451,student,1997-11-08
452,administrator,1997-09-26
453,student,1997-10-07
454,other,1997-12-12
455,administrator,1997-11-03
456,technician,1997-12-06
457,salesman,1997-12-17
458,technician,1998-02-02
459,student,1997-11-15
460,other,1997-12-23
461,student,1998-01-21
462,student,1998-02-01
463,healthcare,1997-10-20
464,writer,1997-11-01
465,other,1997-12-31
466,student,1998-03-19
467,engineer,1997-11-14
468,engineer,1997-09-26
469,educator,1997-11-13
470,ITBA,1997-11-10
471,student,1998-03-13
472,student,1997-10-04
473,student,1997-10-29
474,executive,1998-02-19
475,programmer,1998-04-01
476,student,1997-12-29
477,student,1997-10-04
478,other,1998-03-08
479,educator,1997-11-13
480,retired,1998-03-29
481,retired,1998-01-26
482,student,1998-02-16
483,scientist,1997-11-08
484,student,1997-10-28
485,educator,1998-03-27
486,educator,1997-11-18
487,engineer,1997-12-29
488,technician,1998-03-30
489,other,1998-03-31
490,artist,1997-09-28
491,writer,1998-03-29
492,educator,1997-11-19
493,engineer,1998-01-06
494,administrator,1997-11-14
495,engineer,1998-02-28
496,student,1997-10-05
497,student,1997-11-05
498,writer,1997-12-12
499,programmer,1997-12-24
500,administrator,1998-01-03
501,ITBA,1997-12-28
502,student,1998-01-02
503,writer,1997-11-13
504,writer,1998-02-18
505,other,1998-02-28
506,programmer,1997-09-21
507,writer,1998-03-15
508,marketing,1998-01-02
509,administrator,1997-12-31
510,other,1998-02-16
511,student,1998-03-15
512,other,1998-02-27
513,administrator,1998-01-17
514,programmer,1997-09-26
515,marketing,1998-02-16
516,librarian,1998-03-30
517,student,1997-09-29
518,writer,1997-10-14
519,other,1997-12-27
520,healthcare,1998-01-19
521,student,1998-01-10
522,engineer,1997-10-16
523,administrator,1998-01-02
524,educator,1998-01-08
525,administrator,1997-12-02
526,marketing,1998-01-24
527,librarian,1997-11-13
528,student,1998-01-29
529,administrator,1997-12-19
530,engineer,1998-01-02
531,salesman,1998-02-09
532,student,1997-09-20
533,librarian,1997-11-10
534,student,1997-10-25
535,educator,1997-11-15
536,engineer,1997-12-17
537,engineer,1998-01-28
538,scientist,1997-10-17
539,administrator,1997-11-17
540,engineer,1997-12-15
541,student,1998-01-03
542,student,1998-02-03
543,scientist,1997-09-21
544,other,1998-01-14
545,technician,1997-11-19
546,executive,1998-01-18
547,educator,1998-03-30
548,writer,1998-03-27
549,scientist,1997-12-09
550,student,1997-12-29
551,programmer,1998-04-16
552,other,1997-11-11
553,educator,1997-11-19
554,scientist,1997-10-07
555,educator,1997-11-19
556,educator,1997-12-14
557,writer,1997-11-25
558,writer,1997-11-13
559,executive,1998-03-27
560,student,1997-11-19
561,engineer,1998-01-26
562,administrator,1997-11-10
563,librarian,1997-11-26
564,retired,1998-03-01
565,student,1998-03-27
566,student,1997-12-09
567,entertainment,1997-12-18
568,educator,1997-10-26
569,educator,1997-11-17
570,educator,1997-12-04
571,artist,1997-12-29
572,educator,1997-11-13
573,retired,1998-01-26
574,educator,1998-03-30
575,marketing,1997-10-29
576,executive,1998-02-08
577,student,1997-11-25
578,administrator,1998-02-11
579,educator,1997-12-01
580,student,1998-01-06
581,other,1997-11-16
582,student,1997-12-24
583,engineer,1997-11-13
584,student,1998-01-26
585,librarian,1998-03-30
586,student,1998-01-06
587,other,1998-04-18
588,student,1998-03-16
589,lawyer,1997-12-28
590,educator,1997-11-13
591,librarian,1998-03-27
592,student,1997-12-20
593,educator,1997-09-30
594,educator,1997-09-20
595,programmer,1998-02-08
596,artist,1997-12-31
597,other,1997-09-27
598,ITBA,1998-02-05
599,student,1997-12-01
600,programmer,1998-02-26
601,artist,1997-10-08
602,other,1998-02-28
603,programmer,1998-04-07
604,educator,1998-01-01
605,engineer,1997-11-12
606,programmer,1997-10-23
607,healthcare,1998-01-04
608,other,1997-11-24
609,student,1998-02-07
610,student,1998-02-28
611,librarian,1998-04-03
612,educator,1997-09-27
613,marketing,1998-03-30
614,educator,1997-11-13
615,educator,1997-11-13
616,scientist,1998-03-30
617,writer,1998-01-03
618,student,1998-03-31
619,student,1998-01-28
620,writer,1998-03-15
621,student,1997-09-22
622,programmer,1997-12-20
623,educator,1998-03-27
624,student,1997-11-17
625,programmer,1998-03-30
626,scientist,1997-11-05
627,engineer,1997-11-14
628,none,1997-11-29
629,ITBA,1997-11-21
630,healthcare,1998-01-24
631,student,1998-02-26
632,student,1997-11-13
633,programmer,1997-09-27
634,engineer,1997-10-01
635,other,1997-11-07
636,educator,1998-04-01
637,other,1997-12-23
638,engineer,1997-10-12
639,librarian,1998-03-30
640,student,1997-09-20
641,student,1997-11-12
642,student,1998-01-24
643,scientist,1998-04-01
644,retired,1998-03-05
645,programmer,1998-04-08
646,student,1998-02-26
647,educator,1997-10-11
648,engineer,1997-12-15
649,student,1998-04-01
650,engineer,1998-03-31
651,retired,1997-11-12
652,other,1997-12-19
653,executive,1997-11-06
654,student,1998-02-19
655,healthcare,1998-02-14
656,educator,1998-04-11
657,none,1998-01-08
658,programmer,1997-09-24
659,educator,1998-03-28
660,student,1998-03-29
661,programmer,1997-10-05
662,librarian,1997-11-26
663,other,1998-03-10
664,engineer,1997-10-10
665,ITBA,1998-01-08
666,administrator,1997-11-21
667,librarian,1998-03-27
668,writer,1997-12-07
669,other,1998-03-29
670,technician,1997-10-27
671,programmer,1997-09-27
672,administrator,1997-11-17
673,educator,1998-03-01
674,student,1998-02-18
675,other,1998-03-10
676,programmer,1998-04-16
677,other,1998-01-19
678,educator,1997-11-14
679,student,1998-01-09
680,lawyer,1997-10-14
681,marketing,1998-01-21
682,programmer,1998-02-26
683,librarian,1998-04-22
684,student,1997-10-02
685,librarian,1997-11-13
686,educator,1997-11-14
687,healthcare,1998-01-13
688,administrator,1998-01-07
689,other,1997-10-12
690,salesman,1997-12-03
691,educator,1997-09-29
692,engineer,1997-10-15
693,healthcare,1997-09-28
694,programmer,1997-10-01
695,writer,1998-03-02
696,other,1998-02-02
697,other,1997-12-20
698,programmer,1998-02-01
699,other,1997-11-07
700,student,1998-01-11
701,librarian,1998-04-01
702,other,1998-01-25
703,educator,1997-09-26
704,librarian,1998-04-01
705,student,1997-12-29
706,student,1997-12-01
707,librarian,1997-11-13
708,homemaker,1997-10-20
709,other,1997-11-18
710,student,1997-12-14
711,student,1997-10-07
712,student,1997-09-20
713,other,1998-03-02
714,engineer,1998-04-17
715,technician,1997-10-04
716,administrator,1997-11-17
717,technician,1998-01-12
718,technician,1997-12-28
719,other,1997-10-20
720,administrator,1998-03-30
721,entertainment,1997-10-18
722,homemaker,1998-03-30
723,executive,1997-11-25
724,executive,1998-01-02
725,student,1997-10-06
726,administrator,1998-03-13
727,student,1998-01-02
728,executive,1997-11-13
729,student,1998-04-22
730,scientist,1997-11-23
731,educator,1998-01-30
732,other,1997-12-20
733,other,1997-11-14
734,other,1998-03-27
735,healthcare,1997-10-12
736,writer,1997-11-05
737,programmer,1998-01-09
738,technician,1997-09-27
739,technician,1998-02-07
740,educator,1997-11-14
741,writer,1998-03-27
742,student,1997-12-01
743,programmer,1997-12-04
744,marketing,1997-12-03
745,writer,1997-11-21
746,engineer,1998-01-17
747,other,1998-02-28
748,administrator,1997-11-13
749,other,1997-11-06
750,administrator,1997-11-13
751,ITBA,1998-02-10
752,retired,1998-03-29
753,salesman,1998-04-01
754,librarian,1997-11-13
755,educator,1997-12-19
756,none,1997-09-21
757,student,1998-02-25
758,student,1997-11-27
759,student,1997-09-25
760,other,1997-10-01
761,student,1997-10-07
762,administrator,1997-11-05
763,scientist,1997-11-07
764,educator,1997-10-07
765,student,1997-11-24
766,other,1998-03-31
767,engineer,1998-04-01
768,administrator,1997-11-14
769,executive,1998-01-21
770,student,1997-10-04
771,student,1997-11-27
772,writer,1997-10-07
773,student,1998-02-27
774,student,1998-02-27
775,executive,1998-03-27
776,librarian,1998-04-03
777,programmer,1997-10-04
778,student,1998-03-23
779,student,1997-09-29
780,programmer,1998-03-31
781,student,1997-11-15
782,artist,1998-04-02
783,marketing,1998-01-09
784,administrator,1998-03-31
785,engineer,1997-11-13
786,engineer,1997-12-23
787,student,1998-03-04
788,administrator,1997-11-30
789,other,1997-11-24
790,technician,1998-01-10
791,educator,1997-11-13
792,programmer,1997-10-26
793,student,1997-09-24
794,educator,1998-03-27
795,programmer,1997-11-26
796,writer,1998-04-15
797,other,1997-11-13
798,writer,1997-09-26
799,administrator,1997-11-11
800,programmer,1998-02-16
801,writer,1998-03-19
802,administrator,1997-10-04
803,ITBA,1997-11-20
804,educator,1997-11-13
805,other,1997-11-19
806,marketing,1997-12-17
807,healthcare,1998-04-14
808,salesman,1998-01-04
809,marketing,1998-03-27
810,other,1997-11-18
811,educator,1998-02-01
812,technician,1997-10-23
813,student,1998-01-02
814,other,1998-01-21
815,other,1997-11-05
816,other,1998-04-04
817,student,1997-09-21
818,librarian,1998-04-06
819,administrator,1997-11-19
820,student,1998-02-20
821,engineer,1997-09-20
822,librarian,1998-03-27
823,artist,1997-11-02
824,other,1997-10-16
825,engineer,1997-11-28
826,artist,1998-01-25
827,engineer,1997-12-15
828,librarian,1998-03-27
829,writer,1997-12-02
830,programmer,1998-04-01
831,other,1998-03-31
832,technician,1998-02-23
833,writer,1997-09-23
834,other,1998-03-25
835,executive,1998-03-27
836,artist,1998-01-25
837,artist,1997-10-01
838,student,1998-02-09
839,entertainment,1997-10-02
840,artist,1998-03-29
841,doctor,1998-03-05
842,writer,1998-03-30
843,librarian,1997-11-13
844,engineer,1997-10-20
845,doctor,1998-01-21
846,lawyer,1998-01-04
847,student,1997-11-06
848,engineer,1998-02-09
849,student,1997-11-16
850,technician,1997-12-27
851,other,1997-09-20
852,administrator,1998-03-27
853,writer,1997-11-12
854,student,1997-12-22
855,librarian,1997-11-18
856,marketing,1998-04-02
857,administrator,1997-12-29
858,educator,1997-11-13
859,other,1998-01-26
860,retired,1997-09-22
861,student,1997-12-04
862,executive,1997-11-12
863,student,1998-03-07
864,programmer,1997-10-18
865,artist,1997-11-21
866,other,1998-03-30
867,scientist,1997-11-21
868,programmer,1997-10-17
869,student,1998-01-11
870,student,1997-09-23
871,executive,1998-02-23
872,ITBA,1998-02-26
873,administrator,1998-04-01
874,scientist,1998-02-28
875,student,1997-10-10
876,other,1997-11-13
877,other,1997-12-21
878,educator,1997-11-30
879,administrator,1998-02-18
880,student,1997-11-22
881,marketing,1997-10-11
882,engineer,1997-11-18
883,librarian,1998-04-04
884,engineer,1997-10-14
885,other,1998-01-25
886,student,1997-10-05
887,student,1997-12-06
888,scientist,1997-11-12
889,technician,1997-11-22
890,student,1997-12-17
891,administrator,1997-12-29
892,other,1998-02-04
893,student,1997-09-21
894,educator,1997-11-18
895,librarian,1997-11-13
896,writer,1998-02-11
897,other,1997-11-20
898,homemaker,1998-02-24
899,other,1998-01-06
900,retired,1997-10-26
901,executive,1997-10-17
902,artist,1997-11-13
903,educator,1998-03-27
904,student,1997-11-17
905,other,1998-01-16
906,librarian,1997-11-13
907,other,1997-11-22
908,librarian,1997-11-16
909,educator,1998-04-07
910,healthcare,1997-11-29
911,writer,1998-04-17
912,other,1997-10-04
913,student,1997-09-20
914,other,1998-02-10
915,entertainment,1998-03-27
916,engineer,1997-11-29
917,student,1997-12-23
918,scientist,1998-04-07
919,other,1997-09-26
920,artist,1998-01-08
921,student,1997-11-13
922,administrator,1998-04-01
923,student,1997-11-24
924,other,1998-01-09
925,salesman,1998-01-12
926,entertainment,1998-02-24
927,programmer,1997-11-10
928,student,1997-12-01
929,scientist,1997-11-01
930,scientist,1997-11-14
931,educator,1998-03-27
932,educator,1998-03-30
933,student,1997-09-21
934,engineer,1998-03-29
935,doctor,1998-01-10
936,other,1998-02-07
937,educator,1997-10-13
938,technician,1998-03-31
939,student,1997-11-23
940,administrator,1998-01-14
941,student,1997-09-23
942,librarian,1998-03-30
943,student,1997-09-28
